ceg,data_inicio_operacao,capacidade_instalada,id,codigo,nome,subsistema,latitude,longitude,coordenadas_aproximadas
EOL.CV.BA.032348-9.01,2018-04-01,17.5,135,BAEDI3,Diamante III,NE,-11.09,-42.68,FALSE
EOL.CV.BA.032349-7.01,2018-04-01,27.5,136,BAELA1,Laranjeiras I,NE,-11.12,-42.68,FALSE
EOL.CV.BA.032350-0.01,2018-04-01,30,615,BAELA2,Laranjeiras II,NE,-11.13,-42.7,FALSE
EOL.CV.BA.032351-9.01,2018-04-01,25,137,BAELA5,Laranjeiras V,NE,-11.12,-42.67,FALSE
EOL.CV.BA.032357-8.01,2017-10-01,28,138,BAEDF1,Delfina I,NE,-10.06,-40.98,FALSE
EOL.CV.BA.032358-6.01,2017-11-01,28,139,BAEDF2,Delfina II,NE,-10.04,-40.96,FALSE
EOL.CV.BA.032359-4.01,2017-10-01,28,140,BAEDF5,Delfina V,NE,-10.02,-40.93,FALSE
EOL.CV.BA.032462-0.01,2018-12-01,28.2,145,BAEB02,Serra da Babilônia II,NE,-11.1,-41.31,FALSE
EOL.CV.BA.032465-5.01,2018-12-01,28.2,146,BAEB9,Serra da Babilônia IX,NE,-11.09,-41.32,FALSE
EOL.CV.BA.032466-3.01,2018-12-01,25.85,147,BAEB06,Serra da Babilônia VI,NE,-11.05,-41.33,FALSE
EOL.CV.BA.032467-1.01,2018-12-01,28.2,148,BAEB07,Serra da Babilônia VII,NE,-11.06,-41.32,FALSE
EOL.CV.BA.032468-0.01,2018-12-01,28.2,149,BAEB08,Serra da Babilônia VIII,NE,-11.08,-41.3,FALSE
EOL.CV.BA.032469-8.01,2018-12-01,28.2,150,BAEB10,Serra da Babilônia X,NE,-11.07,-41.32,FALSE
EOL.CV.BA.032470-1.01,2018-12-01,28.2,151,BAEB11,Serra da Babilônia XI,NE,-11.08,-41.32,FALSE
EOL.CV.BA.032471-0.01,2018-12-01,28.2,152,BAEB12,Serra Da Babilônia XII,NE,-11.1,-41.32,FALSE
EOL.CV.BA.032487-6.01,2021-04-01,16.45,153,BAEIM2,INHAMBU 2,NE,-14.45,-42.65,FALSE
EOL.CV.BA.032521-0.01,2017-11-01,28,154,BAEDF3,Delfina III,NE,-10,-40.93,FALSE
EOL.CV.BA.032522-8.01,2017-10-01,8,155,BAEDF4,Delfina IV,NE,-10.07,-40.98,FALSE
EOL.CV.BA.032523-6.01,2017-10-01,30,156,BAEDF6,Delfina VI,NE,-10.03,-40.95,FALSE
EOL.CV.BA.032524-4.01,2017-10-01,30,157,BAEDF7,Delfina VII,NE,-9.99,-40.91,FALSE
EOL.CV.BA.032526-0.01,2018-09-01,28.6,158,BAEB01,Ventos da Bahia I,NE,-11.99,-41.53,FALSE
EOL.CV.BA.032527-9.01,2018-09-01,30.8,159,BAEB03,Ventos da Bahia III,NE,-11.97,-41.52,FALSE
EOL.CV.BA.032531-7.01,2018-09-01,28.6,160,BAEB09,Ventos da Bahia IX,NE,-11.99,-41.49,FALSE
EOL.CV.BA.032535-0.01,2021-12-01,33,161,BAEB13,VENTOS DA BAHIA XIII,NE,-12.14,-41.49,FALSE
