USI_ID;ID_AGRUPAMENTO;ID_PONTO_CONEXAO;ID_SUBSISTEMA;ID_EMPREENDIMENTO;ID_AGENTE;ID_MODALIDADE;NOME;TP_USINA;TAG_PI;CEG_ANEEL;COD_CCEE;LATITUDE;LONGITUDE;POT_INSTALADA;FLAG_PROGRAMADA;DT_ENTRADA_OPER;DT_DESATIVACAO;VLR_GF_ENERGIA;VLR_GF_POTENCIA;FLAG_MERCADO;UF;NOME_SIMPLES;ID_QUADRICULA;COD_PI;DT_INCLUSAO;FLAG_HISTORICO;FLAG_SIMULADA;ID_CONJUNTO_PDES_OLD;ID_CONJUNTO_PDP;DT_ENTRADA_TESTE;LATITUDE_;LONGITUDE_;LOCALIZACAO;DT_ENTRADA_SIMUL;ID_SUBSISTEMA_SIMUL;FLAG_SUSPENSA;FLAG_LEILAO;ID_CONJUNTO_BDT;ID_PONTO_CONEXAO_BDT;ID_CONJUNTO_PDES
RSECSE;163;45;S;NULL;348;14;Coxilha Seca;UEE;RSECSE_GE_TOT_MW.v;EOL.CV.RS.031487-0.01;NULL;-30.89;-55.74;30000.00;1;22/12/2015;NULL;11.80;NULL;NULL;RS;COXILHA SECA;152;RSECSE;16/05/2017;N;1;37-----;38;NULL;-308,879;-557,353;I;22/12/2015;S;N;S;83;37;CJT-37
RSEGAL;163;45;S;NULL;348;14;Galpões;UEE;RSEGAL_GE_TOT_MW.v;EOL.CV.RS.031477-3.01;NULL;-30.88;-55.68;8000.00;1;16/12/2015;NULL;3.00;NULL;NULL;RS;GALPOES;152;RSEGAL;16/05/2017;N;1;37-----;38;NULL;-308,808;-556,765;I;16/12/2015;S;N;S;83;37;CJT-37
RSEIB1;163;45;S;NULL;378;14;EOL Ibirapuitã 1 ;UEE;RSEIB1_GE_TOT_MW.v;EOL.CV.RS.030750-5.01;NULL;-30.77;-55.66;25200.00;1;27/08/2015;NULL;9.60;NULL;NULL;RS;EOL IBIRAPUITA 1 ;152;RSEIB1;16/05/2017;N;1;37-----;38;NULL;-307,709;-556,629;I;27/08/2015;S;N;S;83;37;CJT-37
RSEIN2;162;71;S;NULL;395;14;Índios 2;UEE;RSEIN2_GE_TOT_MW.v;EOL.CV.RS.030734-3.01;NULL;-30.00;-50.33;29900.00;1;16/12/2014;NULL;11.50;NULL;NULL;RS;INDIOS 2;152;RSEIN2;16/05/2017;N;1;NULL;35;NULL;-300,035;-503,319;L;16/12/2014;S;N;S;85;39;CJT-90
RSEIN3;162;71;S;NULL;395;14;Índios 3;UEE;RSEIN3_GE_TOT_MW.v;EOL.CV.RS.030894-3.01;NULL;-29.98;-50.33;23000.00;1;16/12/2014;NULL;8.80;NULL;NULL;RS;INDIOS 3;152;RSEIN3;16/05/2017;N;1;NULL;35;NULL;-299,831;-503,324;L;16/12/2014;S;N;S;85;39;CJT-90
RSEOS2;162;71;S;NULL;393;14;Osório 2;UEE;RSEOS2_GE_TOT_MW.v;EOL.CV.RS.030286-4.01;NULL;-29.95;-50.25;27600.00;1;19/12/2012;NULL;9.20;NULL;NULL;RS;OSORIO 2;152;RSEOS2;16/05/2017;N;1;NULL;35;NULL;-299,535;-502,520;L;19/12/2012;S;N;S;85;39;CJT-90
RSEOS3;162;71;S;NULL;393;14;Osório 3;UEE;RSEOS3_GE_TOT_MW.v;EOL.CV.RS.030449-2.01;NULL;-29.98;-50.26;29900.00;1;15/02/2013;NULL;10.50;NULL;NULL;RS;OSORIO 3;152;RSEOS3;16/05/2017;N;1;NULL;35;NULL;-299,810;-502,550;L;15/02/2013;S;N;S;85;39;CJT-90
RSEP2A;166;47;S;NULL;350;14;Pontal 2A;UEE;RSEP2A_GE_TOT_MW.v;EOL.CV.RS.031509-5.01;NULL;-30.27;-50.78;21600.00;1;02/12/2016;NULL;7.10;NULL;NULL;RS;PONTAL 2A;152;RSEP2A;16/05/2017;N;1;80-----;36;NULL;-302,648;-507,834;L;02/12/2016;S;N;S;90;43;CJT-80
RSEP2B;166;47;S;NULL;379;14;EOL Pontal 2B;UEE;RSEP2B_GE_TOT_MW.v;EOL.CV.RS.030460-3.01;NULL;-30.28;-50.80;11200.00;1;25/04/2015;NULL;4.20;NULL;NULL;RS;EOL PONTAL 2B;152;RSEP2B;16/05/2017;N;1;80-----;36;NULL;-302,779;-507,978;L;25/04/2015;S;N;S;90;43;CJT-80
RSEP3B;166;47;S;NULL;349;14;Pontal 3B;UEE;RSEP3B_GE_TOT_MW.v;EOL.CV.RS.030901-0.01;NULL;-30.26;-50.77;27000.00;1;17/01/2017;NULL;11.00;NULL;NULL;RS;PONTAL 3B;152;RSEP3B;16/05/2017;N;1;80-----;36;NULL;-302,559;-507,662;L;17/01/2017;S;N;S;90;43;CJT-80
RSEVS2;162;71;S;NULL;392;14;Sangradouro 2;UEE;RSESG2_GE_TOT_MW.v;EOL.CV.RS.030381-0.01;NULL;-29.94;-50.31;29900.00;1;02/10/2012;NULL;9.90;NULL;NULL;RS;SANGRADOURO 2;152;RSESG2;16/05/2017;N;1;NULL;35;NULL;-299,390;-503,130;L;02/10/2012;S;N;S;85;39;CJT-90
RSEVS3;162;71;S;NULL;392;14;Sangradouro 3;UEE;RSESG3_GE_TOT_MW.v;EOL.CV.RS.030330-5.01;NULL;-29.96;-50.32;27600.00;1;22/05/2012;NULL;9.20;NULL;NULL;RS;SANGRADOURO 3;152;RSESG3;16/05/2017;N;1;NULL;35;NULL;-299,595;-503,155;L;22/05/2012;S;N;S;85;39;CJT-90
RSEVSI;162;71;S;NULL;394;14;Índios;UEE;RSEVSI_GE_TOT_MW.v;EOL.CV.RS.028864-0.01;NULL;-29.98;-50.28;50000.00;1;13/12/2006;NULL;NULL;NULL;NULL;RS;INDIOS;152;RSEVSI;16/05/2017;N;1;NULL;35;NULL;-299,776;-502,831;L;13/12/2006;S;N;N;85;39;CJT-90
RSEVSO;162;71;S;NULL;394;14;Osório;UEE;RSEVSO_GE_TOT_MW.v;EOL.CV.RS.028810-1.01;NULL;-29.96;-50.28;50000.00;1;29/06/2006;NULL;NULL;NULL;NULL;RS;OSORIO;152;RSEVSO;16/05/2017;N;1;NULL;35;NULL;-299,583;-502,833;L;29/06/2006;S;N;N;85;39;CJT-90
RSEVSS;162;71;S;NULL;394;14;Sangradouro;UEE;RSEVSS_GE_TOT_MW.v;EOL.CV.RS.028811-0.01;NULL;-29.97;-50.28;50000.00;1;30/09/2006;NULL;NULL;NULL;NULL;RS;SANGRADOURO;152;RSEVSS;16/05/2017;N;1;NULL;35;NULL;-299,679;-502,826;L;30/09/2006;S;N;N;85;39;CJT-90
RSFAZD;999;999;S;NULL;NULL;10;FAZENDA ROSARIO 3;UEE;NULL;EOL.CV.RS.030334-8.01;NULL;-30.45;-50.42;16100.00;0;30/06/2011;NULL;NULL;NULL;NULL;RS;FAZENDA ROSARIO 3;NULL;RSFAZD;06/08/2020;S;0;NULL;NULL;NULL;-304,525;-504,226;NULL;NULL;S;N;S;NULL;NULL;
RSFAZE;999;999;S;NULL;NULL;10;FAZENDA ROSARIO;UEE;NULL;EOL.CV.RS.030343-7.01;NULL;-30.44;-50.38;9200.00;0;30/06/2011;NULL;NULL;NULL;NULL;RS;FAZENDA ROSARIO;NULL;RSFAZE;06/08/2020;S;0;NULL;NULL;NULL;-304,469;-503,888;NULL;NULL;S;N;S;NULL;NULL;
RSFAZN;999;999;S;NULL;NULL;10;FAZENDA ROSARIO 2;UEE;NULL;EOL.CV.RS.030478-6.01;NULL;-30.43;-50.40;23000.00;0;27/03/2013;NULL;NULL;NULL;NULL;RS;FAZENDA ROSARIO 2;NULL;RSFAZN;06/08/2020;S;0;NULL;NULL;NULL;-304,398;-504,053;NULL;NULL;S;N;S;NULL;NULL;
RSMGD ;NULL;NULL;S ;NULL;NULL;14;Mangueira II;UEE;NULL;;NULL;-14.27;-42.54;48000.00;1;NULL;NULL;NULL;NULL;NULL;RS;MANGUEIRA II;NULL;RSMGD ;23/10/2020;NULL;0;NULL;NULL;NULL;-142,778;-425,435;;NULL;S;N;NULL;NULL;NULL;NULL
RSMGT ;NULL;NULL;S ;NULL;NULL;14;Mangueira III;UEE;NULL;;NULL;-14.27;-42.54;63000.00;1;NULL;NULL;NULL;NULL;NULL;RS;MANGUEIRA III;NULL;RSMGT ;23/10/2020;NULL;0;NULL;NULL;NULL;-142,778;-425,435;;NULL;S;N;NULL;NULL;NULL;NULL
RSMGU ;NULL;NULL;S ;NULL;NULL;14;Mangueira I;UEE;NULL;;NULL;-14.27;-42.54;96000.00;1;NULL;NULL;NULL;NULL;NULL;RS;MANGUEIRA I;NULL;RSMGU ;23/10/2020;NULL;0;NULL;NULL;NULL;-142,778;-425,435;;NULL;S;N;NULL;NULL;NULL;NULL
RSMN01;168;50;S;NULL;363;14;Eólica Minuano I;UEE;RSMN01_GE_TOT_MW.v;EOL.CV.RS.030844-7.01;NULL;-33.72;-53.40;22000.00;1;26/05/2015;NULL;9.40;NULL;NULL;RS;EOLICA MINUANO I;152;RSMN01;16/05/2017;N;1;41-----;39;NULL;-337,228;-533,990;L;26/05/2015;S;N;S;89;42;CJT-41
RSMN02;168;50;S;NULL;364;14;Eólica Minuano II;UEE;RSMN02_GE_TOT_MW.v;EOL.CV.RS.030791-2.01;NULL;-33.72;-53.42;24000.00;1;26/05/2015;NULL;10.10;NULL;NULL;RS;EOLICA MINUANO II;152;RSMN02;16/05/2017;N;1;41-----;39;NULL;-337,174;-534,167;L;26/05/2015;S;N;S;89;42;CJT-41
