USI_ID;NOME;SUBSISTEMA ;ESTADO;FONTE;CEG ANEEL;LAT;LONG
BAUEPL;SAO PEDRO DO LAGO;NORDESTE;BA;Eólica;EOL.CV.BA.030456-5.01;-9.89;-41.10
BAUEPB;PEDRA BRANCA;NORDESTE;BA;Eólica;EOL.CV.BA.030443-3.01;-9.87;-41.10
D30454;MEL 2;NORDESTE;RN;Eólica;EOL.CV.RN.030454-9.01;-4.95;-36.96
CEUEAG;TAIBA AGUIA;NORDESTE;CE;Eólica;EOL.CV.CE.028857-8.01;-3.55;-38.89
CEUEID;ICARAÍ II;NORDESTE;CE;Eólica;EOL.CV.CE.030356-9.01;-3.07;-39.60
CEUEAD;TAIBA ANDORINHA;NORDESTE;CE;Eólica;EOL.CV.CE.030373-9.01;-3.53;-38.90
CEUECL;COLONIA;NORDESTE;CE;Eólica;EOL.CV.CE.030295-3.01;-3.54;-38.88
CEUEIU;ICARAI I;NORDESTE;CE;Eólica;EOL.CV.CE.030372-0.01;-3.08;-39.59
RNCEM2;MORRO DOS VENTOS 2;NORDESTE;RN;Eólica;EOL.CV.RN.030889-7.01;-5.36;-35.84
RNEBF3;BAIXA DO FEIJAO 3;NORDESTE;RN;Eólica;EOL.CV.RN.030934-6.01;-5.30;-36.04
RNEBF2;BAIXA DO FEIJAO 2;NORDESTE;RN;Eólica;EOL.CV.RN.030933-8.01;-5.37;-36.03
RNEBF1;BAIXA DO FEIJAO 1;NORDESTE;RN;Eólica;EOL.CV.RN.030932-0.01;-5.32;-36.06
RNEBF4;BAIXA DO FEIJAO IV;NORDESTE;RN;Eólica;EOL.CV.RN.030931-1.01;-5.34;-36.04
RNECA1;CAICARA I;NORDESTE;RN;Eólica;EOL.CV.RN.030895-1.02;-5.00;-36.91
RNECAD;CARCARA II;NORDESTE;RN;Eólica;EOL.CV.RN.030897-8.01;-4.95;-37.00
CEEGOB;EOL GOIABEIRA;NORDESTE;CE;Eólica;EOL.CV.CE.030920-6.01;-4.59;-37.71
CEJAI;JANDAIA1;NORDESTE;CE;Eólica;EOL.CV.CE.030907-9.01;-4.41;-37.88
RNEJU1;JUNCO 1;NORDESTE;CE;Eólica;EOL.CV.RN.030902-8.02;-5.03;-36.92
RNEJU2;JUNCO 2;NORDESTE;RN;Eólica;EOL.CV.RN.030914-1.02;-5.03;-36.93
CENSF;NS FATIMA 13LEN;NORDESTE;CE;Eólica;EOL.CV.CE.030930-3.01;-4.43;-37.87
RNECP5;CABECO PRETO 5;NORDESTE;RN;Eólica;EOL.CV.RN.030876-5.01;-5.48;-36.00
RNECP6;CABECO PRETO 6;NORDESTE;RN;Eólica;EOL.CV.RN.030900-1.01;-5.45;-35.95
CEEPTM;EOL PITOMBEIRA;NORDESTE;CE;Eólica;EOL.CV.CE.030926-5.01;-4.60;-37.65
CEESCT;EOL SANTA CATARINA;NORDESTE;CE;Eólica;EOL.CV.CE.030924-9.01;-4.59;-37.68
CESCL;SAO CLEMENTE;NORDESTE;CE;Eólica;EOL.CV.CE.030927-3.01;-4.41;-37.84
CESJN;SAO JANUARIO;NORDESTE;CE;Eólica;EOL.CV.CE.030921-4.01;-4.49;-37.80
RNETER;TERRAL;NORDESTE;RN;Eólica;EOL.CV.RN.030898-6.01;-4.96;-37.04
CEEUBA;EOL UBATUBA;NORDESTE;CE;Eólica;EOL.CV.CE.030918-4.01;-4.66;-37.61
CEEVHZ;EOL VENTOS DE HORIZO;NORDESTE;CE;Eólica;EOL.CV.CE.030925-7.01;-4.62;-37.69
RNEMC1;MACAMBIRA 1;NORDESTE;RN;Eólica;EOL.CV.RN.031025-5.01;-6.05;-36.56
RNEMC2;MACAMBIRA 2;NORDESTE;RN;Eólica;EOL.CV.RN.031026-3.01;-6.08;-36.53
RNECP3;CABECO PRETO 3;NORDESTE;RN;Eólica;EOL.CV.RN.031015-8.01;-5.40;-35.98
RNUEFA;FAROL;NORDESTE;RN;Eólica;EOL.CV.RN.030502-2.01;-5.10;-36.02
BAUEVA;VENTOS DA ANDORINHA;NORDESTE;BA;Eólica;EOL.CV.BA.030944-3.01;-10.58;-40.64
BAEVC1;V C FORMOSO 1 13 LEN;NORDESTE;BA;Eólica;EOL.CV.BA.030943-5.01;-10.63;-40.69
BAEVC2;V C FORMOSO 2 13 LEN;NORDESTE;BA;Eólica;EOL.CV.BA.031010-7.01;-10.52;-40.61
BAUEVM;VENTOS DE MORRINHOS;NORDESTE;BA;Eólica;EOL.CV.BA.030945-1.01;-10.57;-40.63
BAUEVS;V SERTAO 13 LEN;NORDESTE;BA;Eólica;EOL.CV.BA.030946-0.01;-10.56;-40.57
D30622;ARIZONA 1;NORDESTE;RN;Eólica;EOL.CV.RN.030622-3.01;-5.30;-35.38
RNUESB;S BENTO NORTE 2 LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030536-7.01;-5.05;-35.98
RNUEOD;OLHO DAGUA 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030549-9.01;-5.05;-35.97
RNUEBV;BOA VISTA 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030512-0.01;-5.11;-35.93
RNECBR;COSTA BRANCA 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030672-0.01;-5.42;-35.85
RNUEG1;CALANGO 1 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030511-1.01;-6.03;-36.54
RNUEG2;CALANGO 2 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030519-7.01;-6.02;-36.48
RNUEG3;CALANGO 3 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030545-6.01;-6.05;-36.55
RNUEG4;CALANGO 4 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030537-5.01;-6.02;-36.47
RNUEG5;CALANGO 5 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030552-9.01;-6.03;-36.49
RNEAB8;ASA BRANCA 8 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030508-1.01;-5.28;-35.98
RNEAB7;ASA BRANCA 7 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030513-8.01;-5.25;-35.94
RNEAB6;ASA BRANCA 6 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030520-0.01;-5.36;-36.00
RNEAB5;ASA BRANCA 5 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030507-3.01;-5.38;-36.01
RNEAB4;ASA BRANCA 4 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030498-0.01;-5.33;-35.99
RNEPEP;PEDRA PRETA 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030671-1.01;-5.43;-35.85
RNEMAC;MACACOS 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030661-4.01;-5.41;-35.85
RNEJUR;JUREMAS 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030660-6.01;-5.39;-35.85
BAUECR;CRISTAL 3LER;NORDESTE;BA;Eólica;EOL.CV.BA.030727-0.01;-11.80;-41.39
BAUESJ;SAO JUDAS 3LER;NORDESTE;BA;Eólica;EOL.CV.BA.030725-4.01;-11.66;-41.36
RNCEE1;EURUS 1 3LER;NORDESTE;RN;Eólica;EOL.CV.RN.030503-0.01;-5.37;-35.86
BAUEAR;ARACAS 3LER;NORDESTE;BA;Eólica;EOL.CV.BA.030495-6.01;-14.13;-42.56
BAUEDP;DA PRATA;NORDESTE;BA;Eólica;EOL.CV.BA.030490-5.01;-13.95;-42.64
RNECV2;C DOS VENTOS 2 3LER;NORDESTE;RN;Eólica;EOL.CV.RN.030500-6.01;-5.32;-35.93
RNUERN;RENASCENÇA 5 3LER;NORDESTE;RN;Eólica;EOL.CV.RN.030497-2.01;-5.27;-35.86
BAUEPR;PRIMAVERA 3LER;NORDESTE;BA;Eólica;EOL.CV.BA.030726-2.01;-11.73;-41.37
BAUEMR;MORRAO;NORDESTE;BA;Eólica;EOL.CV.BA.030506-5.01;-14.09;-42.68
RNCEE3;EURUS 3 3LER;NORDESTE;RN;Eólica;EOL.CV.RN.030504-9.01;-5.40;-35.87
RNUEER;EURUS 2 3LER;NORDESTE;RN;Eólica;EOL.CV.RN.030499-9.01;-5.39;-35.83
BAUESE;SERAIMA;NORDESTE;BA;Eólica;EOL.CV.BA.030546-4.01;-14.15;-42.71
RNESS1;S DE SANTANA 1 3LER;NORDESTE;RN;Eólica;EOL.CV.RN.030625-8.01;-6.06;-36.58
RNESS2;S DE SANTANA 2 3LER;NORDESTE;RN;Eólica;EOL.CV.RN.030609-6.01;-6.10;-36.58
RNESS3;S DE SANTANA 3 3LER;NORDESTE;RN;Eólica;EOL.CV.RN.030615-0.01;-6.02;-36.51
BAUETQ;TANQUE 3LER;NORDESTE;BA;Eólica;EOL.CV.BA.030544-8.01;-14.10;-42.61
BAUEVN;V DO NORDESTE 3LER;NORDESTE;BA;Eólica;EOL.CV.BA.030476-0.01;-14.12;-42.61
RNEPR1;RENASCENÇA I 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030515-4.01;-5.30;-35.87
RNEPR2;RENASCENÇA II 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030516-2.01;-5.31;-35.89
RNEPR3;RENASCENÇA III;NORDESTE;RN;Eólica;EOL.CV.RN.030527-8.01;-5.30;-35.90
RNEPR4;RENASCENÇA IV;NORDESTE;RN;Eólica;EOL.CV.RN.030551-0.01;-5.30;-35.92
RNEVSM;VENTOS DE SÃO MIGUEL;NORDESTE;RN;Eólica;EOL.CV.RN.030514-6.01;-5.28;-35.88
BAUEDR;DOIS RIACHOS (EGP);NORDESTE;BA;Eólica;EOL.CV.BA.031121-9.01;-11.82;-41.46
CEUEGU;GUAJIRÚ;NORDESTE;CE;Eólica;EOL.CV.CE.030663-0.01;-3.26;-39.22
CEUETR;TRAIRÍ;NORDESTE;CE;Eólica;EOL.CV.CE.030662-2.01;-3.22;-39.29
CEUEBU;NOVA BURITI;NORDESTE;CE;Eólica;EOL.CV.CE.030279-1.01;-2.89;-39.98
CEUEFL;FLEIXEIRAS I;NORDESTE;CE;Eólica;EOL.CV.CE.030670-3.01;-3.20;-39.36
RNEEU4;EURUS IV;NORDESTE;RN;Eólica;EOL.CV.RN.030509-0.01;-5.26;-35.81
RNEAB3;ASA BRANCA 3 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030548-0.01;-5.26;-35.84
RNEAB2;ASA BRANCA 2 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030547-2.01;-5.23;-35.88
RNEAB1;ASA BRANCA 1 2LFA;NORDESTE;RN;Eólica;EOL.CV.RN.030505-7.01;-5.23;-35.83
BAUEAT;AMETISTA;NORDESTE;BA;Eólica;EOL.CV.BA.030779-3.01;-14.13;-42.59
BAUEBR;BORGO;NORDESTE;BA;Eólica;EOL.CV.BA.030837-4.01;-14.51;-42.59
BAUECE;CAETITE;NORDESTE;BA;Eólica;EOL.CV.BA.030792-0.01;-14.47;-42.58
BAUEPO;PELOURINHO;NORDESTE;BA;Eólica;EOL.CV.BA.030793-9.01;-14.53;-42.59
BAUEDU;DOURADOS (UEE DOURAD;NORDESTE;BA;Eólica;EOL.CV.BA.030778-5.01;-13.86;-42.73
BAUEJO;JOANA;NORDESTE;BA;Eólica;EOL.CV.BA.030801-3.01;-13.92;-42.62
BAUEMA;MARON;NORDESTE;BA;Eólica;EOL.CV.BA.030768-8.01;-14.09;-42.62
BAUEPI;PILÕES;NORDESTE;BA;Eólica;EOL.CV.BA.030776-9.01;-14.03;-42.62
D30827;PORTO DAS BARCAS;NORDESTE;PI;Eólica;EOL.CV.PI.030827-7.01;-2.82;-41.74
BAUEMI;EMILIANA;NORDESTE;BA;Eólica;EOL.CV.BA.030807-2.01;-13.91;-42.62
D30830;PORTO SALGADO;NORDESTE;PI;Eólica;EOL.CV.PI.030830-7.01;-2.84;-41.73
RNUEMP;MODELO I;NORDESTE;RN;Eólica;EOL.CV.RN.030787-4.01;-5.43;-35.89
BAUESP;SERRA DO ESPINHACO;NORDESTE;BA;Eólica;EOL.CV.BA.030802-1.01;-14.50;-42.58
BAEPGO;ESPIGAO;NORDESTE;BA;Eólica;EOL.CV.BA.030803-0.01;-14.48;-42.59
D30838;DELTA DO PARNAIBA;NORDESTE;PI;Eólica;EOL.CV.PI.030838-2.01;-2.84;-41.71
PEUEPF;PAU FERRO;NORDESTE;PE;Eólica;EOL.CV.PE.030805-6.01;-9.06;-38.12
CEUESC;SAO CRISTOVAO;NORDESTE;CE;Eólica;EOL.CV.CE.030912-5.01;-3.26;-39.25
CEUESJ;SAO JORGE CE;NORDESTE;CE;Eólica;EOL.CV.CE.030911-7.01;-3.25;-39.25
RNUEMD;MODELO II;NORDESTE;RN;Eólica;EOL.CV.RN.030788-2.01;-5.41;-35.90
PEUETA;TACAICO;NORDESTE;PE;Eólica;EOL.CV.PE.030789-0.01;-9.02;-38.06
PEUEPG;PEDRA DO GERÔNIMO;NORDESTE;PE;Eólica;EOL.CV.PE.030806-4.01;-9.07;-38.14
CEUEMU;MUNDAÚ;NORDESTE;CE;Eólica;EOL.CV.CE.030656-8.01;-3.19;-39.37
CEUEAP;STO ANTONIO DE PADUA;NORDESTE;CE;Eólica;EOL.CV.CE.030916-8.01;-3.27;-39.22
RNUEVX;UNIAO DOS VENTOS 10;NORDESTE;RN;Eólica;EOL.CV.RN.030571-5.01;-5.11;-35.89
RNUEV9;UNIAO DOS VENTOS 09;NORDESTE;RN;Eólica;EOL.CV.RN.030570-7.01;-5.09;-35.89
RNUEV8;UNIAO DOS VENTOS 08;NORDESTE;RN;Eólica;EOL.CV.RN.030569-3.01;-5.07;-35.89
RNUEV7;UNIAO DOS VENTOS 07;NORDESTE;RN;Eólica;EOL.CV.RN.030568-5.01;-5.10;-35.75
RNUEV6;UNIÃO DOS VENTOS 06;NORDESTE;RN;Eólica;EOL.CV.RN.030567-7.01;-5.09;-35.77
RNUEV5;UNIAO DOS VENTOS 05;NORDESTE;RN;Eólica;EOL.CV.RN.030566-9.01;-5.09;-35.78
RNUEV4;UNIÃO DOS VENTOS 04;NORDESTE;RN;Eólica;EOL.CV.RN.030565-0.01;-5.09;-35.80
RNUEV3;UNIAO DOS VENTOS 03;NORDESTE;RN;Eólica;EOL.CV.RN.030564-2.01;-5.08;-35.81
RNUEV2;UNIAO DOS VENTOS 02;NORDESTE;RN;Eólica;EOL.CV.RN.030563-4.01;-5.08;-35.83
RNUEV1;UNIÃO DOS VENTOS 01;NORDESTE;RN;Eólica;EOL.CV.RN.030562-6.01;-5.08;-35.84
RNECNB;CARNAUBAS;NORDESTE;RN;Eólica;EOL.CV.RN.030831-5.01;-5.15;-35.66
RNECAU;CARCARA I;NORDESTE;RN;Eólica;EOL.CV.RN.030832-3.01;-4.94;-36.99
BAEANG;ANGICAL;NORDESTE;BA;Eólica;EOL.CV.BA.030732-7.01;-14.35;-42.61
CEEMAU;MALHADINHA 1;NORDESTE;CE;Eólica;EOL.CV.CE.030841-2.01;-3.95;-41.12
